Emotion,Predicted_Emotion,Count,Percent_of_All_Errors
neutral,anger,199,0.1272378516624041
neutral,joy,184,0.11764705882352941
neutral,sadness,119,0.07608695652173914
neutral,surprise,110,0.07033248081841433
joy,neutral,92,0.058823529411764705
anger,neutral,75,0.0479539641943734
neutral,fear,72,0.04603580562659847
neutral,disgust,49,0.03132992327365729
surprise,neutral,45,0.02877237851662404
anger,sadness,42,0.026854219948849106
anger,surprise,42,0.026854219948849106
anger,joy,39,0.024936061381074168
sadness,neutral,39,0.024936061381074168
joy,anger,33,0.021099744245524295
sadness,anger,33,0.021099744245524295
joy,surprise,32,0.020460358056265986
joy,sadness,29,0.01854219948849105
surprise,joy,29,0.01854219948849105
sadness,joy,26,0.016624040920716114
anger,disgust,23,0.014705882352941176
joy,fear,22,0.014066496163682864
surprise,anger,21,0.013427109974424553
disgust,anger,20,0.01278772378516624
joy,disgust,18,0.011508951406649617
surprise,sadness,18,0.011508951406649617
sadness,surprise,17,0.010869565217391304
anger,fear,15,0.00959079283887468
disgust,neutral,15,0.00959079283887468
fear,neutral,15,0.00959079283887468
sadness,fear,15,0.00959079283887468
surprise,disgust,12,0.0076726342710997444
fear,anger,9,0.005754475703324808
surprise,fear,9,0.005754475703324808
disgust,surprise,8,0.005115089514066497
fear,sadness,8,0.005115089514066497
sadness,disgust,8,0.005115089514066497
disgust,fear,6,0.0038363171355498722
fear,joy,5,0.00319693094629156
disgust,sadness,4,0.0025575447570332483
fear,surprise,3,0.0019181585677749361
disgust,joy,2,0.0012787723785166241
fear,disgust,2,0.0012787723785166241
